[16-07-21_13:07:38.075][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:38.124][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:38.213][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:38.307][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:38.380][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:38.467][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:38.530][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:38.582][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:38.672][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:38.722][[hPa], [°C], [m]]1011.88995, 28.0, 11.3300705
[16-07-21_13:07:38.813][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:38.863][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:38.955][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:39.045][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:39.100][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:39.183][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:39.235][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:39.313][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:39.399][[hPa], [°C], [m]]1011.85, 28.0, 11.662997
[16-07-21_13:07:39.477][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:39.532][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:39.619][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:39.702][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:39.754][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:39.839][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:39.924][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:39.978][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:40.055][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:40.143][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:40.190][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:40.270][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:40.352][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:40.428][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:40.485][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:40.580][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:40.662][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:40.745][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:40.787][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:40.890][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:40.943][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:41.029][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:41.121][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:41.179][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:41.261][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:41.315][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:41.406][[hPa], [°C], [m]]1011.88995, 28.0, 11.3300705
[16-07-21_13:07:41.466][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:41.568][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:41.620][[hPa], [°C], [m]]1012.08997, 28.0, 9.662796
[16-07-21_13:07:41.708][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:41.764][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:41.848][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:41.930][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:41.988][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:42.078][[hPa], [°C], [m]]1011.82996, 28.0, 11.82946
[16-07-21_13:07:42.130][[hPa], [°C], [m]]1011.88995, 28.0, 11.3300705
[16-07-21_13:07:42.217][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:42.306][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:42.357][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:42.442][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:42.523][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:42.585][[hPa], [°C], [m]]1011.88995, 28.0, 11.3300705
[16-07-21_13:07:42.664][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:42.725][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:42.811][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:42.859][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:42.952][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:43.030][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:43.086][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:43.166][[hPa], [°C], [m]]1012.08997, 28.0, 9.662796
[16-07-21_13:07:43.243][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:43.296][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:43.380][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:43.466][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:43.521][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:43.609][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:43.686][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:43.733][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:43.809][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:43.894][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:43.978][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:44.033][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:44.111][[hPa], [°C], [m]]1011.85, 28.0, 11.662997
[16-07-21_13:07:44.184][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:44.267][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:44.316][[hPa], [°C], [m]]1011.88995, 28.0, 11.3300705
[16-07-21_13:07:44.406][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:44.488][[hPa], [°C], [m]]1011.82996, 28.0, 11.82946
[16-07-21_13:07:44.545][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:44.623][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:44.696][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:44.777][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:44.824][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:44.901][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:44.982][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:45.058][[hPa], [°C], [m]]1012.08997, 28.0, 9.662796
[16-07-21_13:07:45.135][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:45.185][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:45.263][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:45.340][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:45.417][[hPa], [°C], [m]]1012.08997, 28.0, 9.662796
[16-07-21_13:07:45.490][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:45.567][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:45.645][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:45.697][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:45.776][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:45.866][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:45.940][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:45.990][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:46.070][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:46.147][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:46.218][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:46.295][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:46.350][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:46.432][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:46.509][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:46.593][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:46.644][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:46.724][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:46.803][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:46.882][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:46.932][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:47.010][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:47.088][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:47.182][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:47.225][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:47.305][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:47.383][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:47.457][[hPa], [°C], [m]]1011.88995, 28.0, 11.3300705
[16-07-21_13:07:47.537][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:47.589][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:47.671][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:47.751][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:47.803][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:47.884][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:47.961][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:48.044][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:48.096][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:48.177][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:48.254][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:48.336][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:48.389][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:48.482][[hPa], [°C], [m]]1012.08997, 28.0, 9.662796
[16-07-21_13:07:48.557][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:48.610][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:48.692][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:48.768][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:48.851][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:48.903][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:48.987][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:49.064][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:49.117][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:49.200][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:49.276][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:49.359][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:49.414][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:49.492][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:49.576][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:49.631][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:49.734][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:49.783][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:49.867][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:49.945][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:50.000][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:50.077][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:50.161][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:50.217][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:50.300][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:50.376][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:50.430][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:50.516][[hPa], [°C], [m]]1012.08997, 28.0, 9.662796
[16-07-21_13:07:50.592][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:50.648][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:50.730][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:50.805][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:50.860][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:50.955][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:51.030][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:51.085][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:51.167][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:51.241][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:51.295][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:51.375][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:51.458][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:51.533][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
