timestamp, airPressureHectoPascals, ambientTemperatureCelsius, absoluteAltituteMeters
16-07-21 13:07:38.672,1011.94995, 28.0, 10.828038
16-07-21 13:07:38.722,1011.88995, 28.0, 11.3300705
16-07-21 13:07:38.813,1012.00995, 28.0, 10.328649
16-07-21 13:07:38.863,1012.00995, 28.0, 10.328649
16-07-21 13:07:38.955,1011.97, 28.0, 10.661575
16-07-21 13:07:39.045,1011.97, 28.0, 10.661575
16-07-21 13:07:39.100,1011.97, 28.0, 10.661575
16-07-21 13:07:39.183,1012.00995, 28.0, 10.328649
16-07-21 13:07:39.235,1012.00995, 28.0, 10.328649
16-07-21 13:07:39.313,1012.00995, 28.0, 10.328649
16-07-21 13:07:39.399,1011.85, 28.0, 11.662997
16-07-21 13:07:39.477,1011.97, 28.0, 10.661575
16-07-21 13:07:39.532,1011.97, 28.0, 10.661575
16-07-21 13:07:39.619,1011.97, 28.0, 10.661575
16-07-21 13:07:39.702,1011.94995, 28.0, 10.828038
16-07-21 13:07:39.754,1011.94995, 28.0, 10.828038
16-07-21 13:07:39.839,1012.00995, 28.0, 10.328649
16-07-21 13:07:39.924,1012.00995, 28.0, 10.328649
16-07-21 13:07:39.978,1012.00995, 28.0, 10.328649
16-07-21 13:07:40.055,1011.94995, 28.0, 10.828038
16-07-21 13:07:40.143,1011.94995, 28.0, 10.828038
16-07-21 13:07:40.190,1011.91, 28.0, 11.160965
16-07-21 13:07:40.270,1011.97, 28.0, 10.661575
16-07-21 13:07:40.352,1011.97, 28.0, 10.661575
16-07-21 13:07:40.428,1011.94995, 28.0, 10.828038
16-07-21 13:07:40.485,1012.07, 28.0, 9.829259
16-07-21 13:07:40.580,1011.97, 28.0, 10.661575
16-07-21 13:07:40.662,1011.97, 28.0, 10.661575
16-07-21 13:07:40.745,1012.02997, 28.0, 10.162186
16-07-21 13:07:40.787,1012.02997, 28.0, 10.162186
16-07-21 13:07:40.890,1011.97, 28.0, 10.661575
16-07-21 13:07:40.943,1012.07, 28.0, 9.829259
16-07-21 13:07:41.029,1011.97, 28.0, 10.661575
16-07-21 13:07:41.121,1011.97, 28.0, 10.661575
16-07-21 13:07:41.179,1012.02997, 28.0, 10.162186
16-07-21 13:07:41.261,1012.07, 28.0, 9.829259
16-07-21 13:07:41.315,1011.97, 28.0, 10.661575
16-07-21 13:07:41.406,1011.88995, 28.0, 11.3300705
16-07-21 13:07:41.466,1011.91, 28.0, 11.160965
16-07-21 13:07:41.568,1011.97, 28.0, 10.661575
16-07-21 13:07:41.620,1012.08997, 28.0, 9.662796
16-07-21 13:07:41.708,1012.02997, 28.0, 10.162186
16-07-21 13:07:41.764,1011.97, 28.0, 10.661575
16-07-21 13:07:41.848,1011.94995, 28.0, 10.828038
16-07-21 13:07:41.930,1012.00995, 28.0, 10.328649
16-07-21 13:07:41.988,1012.00995, 28.0, 10.328649
16-07-21 13:07:42.078,1011.82996, 28.0, 11.82946
16-07-21 13:07:42.130,1011.88995, 28.0, 11.3300705
16-07-21 13:07:42.217,1011.97, 28.0, 10.661575
16-07-21 13:07:42.306,1012.02997, 28.0, 10.162186
16-07-21 13:07:42.357,1011.91, 28.0, 11.160965
16-07-21 13:07:42.442,1012.00995, 28.0, 10.328649
16-07-21 13:07:42.523,1011.94995, 28.0, 10.828038
16-07-21 13:07:42.585,1011.88995, 28.0, 11.3300705
16-07-21 13:07:42.664,1012.02997, 28.0, 10.162186
16-07-21 13:07:42.725,1012.00995, 28.0, 10.328649
16-07-21 13:07:42.811,1012.02997, 28.0, 10.162186
16-07-21 13:07:42.859,1012.02997, 28.0, 10.162186
16-07-21 13:07:42.952,1011.97, 28.0, 10.661575
16-07-21 13:07:43.030,1011.97, 28.0, 10.661575
16-07-21 13:07:43.086,1012.02997, 28.0, 10.162186
16-07-21 13:07:43.166,1012.08997, 28.0, 9.662796
16-07-21 13:07:43.243,1011.91, 28.0, 11.160965
16-07-21 13:07:43.296,1012.00995, 28.0, 10.328649
16-07-21 13:07:43.380,1011.94995, 28.0, 10.828038
16-07-21 13:07:43.466,1011.97, 28.0, 10.661575
16-07-21 13:07:43.521,1011.94995, 28.0, 10.828038
16-07-21 13:07:43.609,1012.00995, 28.0, 10.328649
16-07-21 13:07:43.686,1011.97, 28.0, 10.661575
16-07-21 13:07:43.733,1012.02997, 28.0, 10.162186
16-07-21 13:07:43.809,1011.97, 28.0, 10.661575
16-07-21 13:07:43.894,1012.02997, 28.0, 10.162186
16-07-21 13:07:43.978,1011.94995, 28.0, 10.828038
