X,Y
9.936001,-3.956
9.936001,-3.956
9.936001,-3.956
9.936001,-3.956
9.936001,-4.2320004
9.936001,-4.2320004
9.936001,-4.2320004
10.12,-4.6
10.12,-4.6
10.12,-4.6
10.12,-4.6
10.12,-4.6
10.12,-4.6
10.304,-5.06
10.304,-5.06
10.304,-5.612
10.304,-5.612
10.304,-5.612
10.304,-5.612
10.304,-5.612
10.672,-5.9800005
10.672,-5.9800005
10.672,-5.9800005
10.856,-6.44
10.856,-6.44
10.856,-6.44
11.040001,-7.36
11.040001,-7.36
11.040001,-7.36
11.040001,-7.36
11.040001,-7.36
11.316,-8.372
11.316,-8.372
11.316,-8.372
11.316,-8.372
11.592,-9.476
11.592,-9.476
11.592,-9.476
11.776,-10.856
11.776,-10.856
11.776,-10.856
11.776,-10.856
11.776,-10.856
11.868,-12.236001
11.868,-12.236001
11.868,-12.236001
11.868,-12.236001
11.960001,-13.984001
11.960001,-13.984001
11.960001,-13.984001
11.960001,-15.732
11.960001,-15.732
11.960001,-15.732
11.868,-17.388
11.868,-17.388
11.868,-17.388
11.868,-17.388
11.868,-17.388
11.592,-19.136
11.592,-19.136
11.592,-19.136
11.592,-19.136
11.592,-19.136
11.316,-20.608
11.316,-20.608
11.316,-20.608
10.856,-22.264
10.856,-22.264
10.856,-22.264
10.856,-22.264
10.856,-22.264
10.856,-22.264
10.12,-23.644001
10.12,-23.644001
10.12,-23.644001
9.476,-25.3
9.476,-25.3
9.476,-25.3
8.740001,-26.588001
8.740001,-26.588001
8.740001,-26.588001
8.740001,-26.588001
8.740001,-26.588001
7.912,-28.152
7.912,-28.152
7.912,-28.152
7.912,-28.152
7.912,-28.152
6.808,-29.44
6.808,-29.44
6.808,-29.44
5.704,-30.912
5.704,-30.912
5.704,-30.912
5.704,-30.912
5.704,-30.912
5.704,-30.912
4.5080004,-32.292
4.5080004,-32.292
4.5080004,-32.292
3.128,-33.58
3.128,-33.58
3.128,-33.58
1.564,-34.684
1.564,-34.684
1.564,-34.684
1.564,-34.684
1.564,-34.684
1.564,-34.684
0.092,-35.696
0.092,-35.696
0.092,-35.696
-1.472,-36.524002
-1.472,-36.524002
-1.472,-36.524002
-2.944,-37.260002
