[16-07-21_15:20:28.864][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:28.957][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:29.024][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:29.100][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.744, 105.151436
[16-07-21_15:20:29.196][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.928001, 104.81763
[16-07-21_15:20:29.246][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:29.311][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.744, 104.81763
[16-07-21_15:20:29.395][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.744, 104.81763
[16-07-21_15:20:29.464][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.744, 104.81763
[16-07-21_15:20:29.538][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:29.604][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:29.669][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:29.847][[µT]X, Y, Z, Direção]-13.340001, 17.664, 16.836, 104.81763
[16-07-21_15:20:29.859][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.928001, 104.96162
[16-07-21_15:20:29.969][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.744, 105.151436
[16-07-21_15:20:30.031][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.744, 105.00718
[16-07-21_15:20:30.095][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.836, 104.96162
[16-07-21_15:20:30.158][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
[16-07-21_15:20:30.230][[µT]X, Y, Z, Direção]-13.156, 17.572, 16.744, 104.57909
[16-07-21_15:20:30.302][[µT]X, Y, Z, Direção]-13.340001, 17.572, 16.744, 104.96162
