[16-07-21_13:47:48.248][[µT]X, Y, Z, Direção]16.008, 17.388, -20.883999, 25.123478
[16-07-21_13:47:48.318][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819622
[16-07-21_13:47:48.391][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:48.463][[µT]X, Y, Z, Direção]16.1, 17.296, -20.976002, 24.808266
[16-07-21_13:47:48.539][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:48.615][[µT]X, Y, Z, Direção]16.1, 17.204, -20.976002, 24.655842
[16-07-21_13:47:48.688][[µT]X, Y, Z, Direção]15.916, 17.204, -23.092001, 24.984276
[16-07-21_13:47:48.792][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655842
[16-07-21_13:47:48.857][[µT]X, Y, Z, Direção]15.916, 17.204, -20.976002, 24.984276
[16-07-21_13:47:48.921][[µT]X, Y, Z, Direção]16.1, 17.112, -20.883999, 24.50254
[16-07-21_13:47:48.999][[µT]X, Y, Z, Direção]16.1, 17.296, -20.792, 24.808266
[16-07-21_13:47:49.066][[µT]X, Y, Z, Direção]15.916, 17.296, -20.976002, 25.13657
[16-07-21_13:47:49.143][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:49.206][[µT]X, Y, Z, Direção]16.008, 17.296, -20.792, 24.971985
[16-07-21_13:47:49.277][[µT]X, Y, Z, Direção]16.008, 17.204, -20.792, 24.819622
[16-07-21_13:47:49.356][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:49.427][[µT]X, Y, Z, Direção]16.008, 17.296, -20.883999, 24.971985
[16-07-21_13:47:49.501][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:49.567][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819622
[16-07-21_13:47:49.649][[µT]X, Y, Z, Direção]16.008, 17.112, -20.976002, 24.666382
